,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Save:,Williams 2023 15/10/2022 – 08:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williams – Renault,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car 1,,,Neutral Setup,,,,,,,,,,,Neutral Setup,,,,,,,,,Neutral Setup,,,,,,,,,,,,,,,,,,
W23 C-1,,,110kg Fuel,,Nominal fuel per lap 1.9kg,,,,,,,,,110kg Fuel,,,,,,,,,110kg Fuel,,,,,,,,,,,,,,,,,,
W23 RW-1,,,58.5kg Fuel left after the stint,,,,,,,,,,,41.2kg Fuel left after the stint,,,,,,,,,40.1kg Fuel left after the stint,,,,,,,,,,,,,,,,,,
W23 UF-1,,,Soft,,,,,,,,,,,Medium,,,,,,,,,Hard,,,,,,,,,,,,,,,,,,
W23 FW-1,,,Standard Pace,,,,,,,,,,,Standard Pace,,,,,,,,,Standard Pace,,,,,,,,,,,,,,,,,,
W23 SP-1,,,Balanced Fuel,,,,,,,,,,,Balanced Fuel,,,,,,,,,Balanced Fuel,,,,,,,,,Averages,,,,,,,,,
W23 S-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Soft,Medium,Hard,,,,,,,
Powertrain 1 – 100%,,,Laps,Tyre Wear,,,,,,,,,,Laps,Tyre Wear,,,,,,,,Laps,Tyre Wear,,,,,,,Laps,,,,,,,,,,
Reserve Driver,,,1,96,96,96,Out,Out,Out,Out,Out,Out,,1,97,97,Out,Out,Out,Out,Out,,1,98,Out,Out,Out,Out,Out,,1,,,,,,,,,,
,,,17,37,37,37,37.143,37.177,37.144,,,,,9,75,75,36.132,36.031,,,,,9,79,36.821,36.698,,,,,,,,,,,Lap,110,58.3,diff,
,,,18,33,34,33,37.306,37.585,37.334,,,,,10,72,72,36.151,36.038,,,,,10,77,36.677,36.701,,,,,,,,,,,16,98.693,97.073,1.620,
,,,19,30,30,30,37.436,37.537,37.442,,,,,11,69,70,36.182,36.123,,,,,11,73,40.233,36.631,,,,,,,,,,,17,98.784,97.155,1.629,
,,,20,26,27,26,37.936,37.809,37.890,,,,,12,67,67,36.419,36.142,,,,,12,71,36.733,36.781,,,,,,,,,,,18,98.835,97.408,1.427,
,,,21,23,23,23,42.120,38.454,38.302,,,,,13,64,64,36.582,36.171,,,,,13,69,36.793,36.764,,,,,,,,,,,19,98.984,97.472,1.512,
,,,22,19,20,19,38.501,38.389,38.437,,,,,14,61,61,36.235,36.268,,,,,14,66,36.837,40.336,,,,,,,,,,,20,99.152,97.878,1.274,
,,,23,16,17,16,38.880,38.805,38.954,,,,,15,58,59,36.333,36.320,,,,,15,64,37.084,36.819,,,,,,,,,,,,,,,
,,,24,13,13,13,39.118,39.083,39.137,,,,,16,56,56,36.501,36.444,,,,,16,62,37.448,36.836,,,,,,,,,,,Stint,98.88946667,97.39726667,1.4922,
,,,25,9,10,9,39.310,39.269,45.500,,,,,17,53,53,36.509,36.575,,,,,17,59,37.623,36.867,,,,,,,,,,,,,,0.29844,per lap
,,,26,6,7,spun out,39.404,39.235,39.308,,,,,18,50,50,36.538,36.580,,,,,18,57,36.913,36.991,,,,,,,,,,Initial load diff,,51.7,,0.005772533849,per lap and kg of fuel
,,,27,3,4,2,39.688,39.500,39.510,,,,,19,47,48,37.113,36.775,,,,,19,55,37.209,37.011,,,,,,,,,,,,,,,
,,,28,0,0,0,tyres popped,39.459,tyres popped,,,,,20,45,45,36.943,36.756,,,,,20,52,37.106,37.077,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,21,42,42,36.986,36.929,,,,,21,50,37.288,37.357,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,22,39,40,In,In,,,,,22,48,In,In,,,,,,,,,,,,,,,
,,,Fuel Control “Hotlap”,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Neutral Setup, Softs, Standard Pace, Balanced Fuel",,,,,,,,,,,Fuel after the stint:,,,2.2,,,,,,Fuel after the stint:,,,2.3,,,,,,,,,,,,,,,
,,,Fuel,9.4,kg,(5 laps stint),,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,
,,,Laps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,Out,Out,Out,Out,Out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2,34.430,34.469,34.430,34.375,34.471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,34.426,34.426,34.426,34.426,34.459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,4,34.362,34.932,34.362,34.469,34.395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,5,In,In,In,In,In,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
